"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 12, 2015","9,691.00","9,661.91","9,745.22","9,660.00","353.26M","0.30%"
"Mar 11, 2015","9,661.91","9,612.71","9,666.69","9,530.81","258.76M","0.51%"
"Mar 10, 2015","9,612.71","9,622.96","9,650.90","9,558.29","269.50M","-0.11%"
"Mar 09, 2015","9,622.96","9,579.28","9,636.80","9,572.00","350.30M","0.46%"
"Mar 08, 2015","9,579.28","9,516.98","9,582.64","9,474.75","393.26M","0.65%"
"Mar 05, 2015","9,516.98","9,462.59","9,524.93","9,447.90","271.30M","0.57%"
"Mar 04, 2015","9,462.59","9,487.73","9,527.88","9,453.97","241.73M","-0.26%"
"Mar 03, 2015","9,487.73","9,389.38","9,487.97","9,379.46","297.90M","1.05%"
"Mar 02, 2015","9,389.38","9,352.63","9,396.20","9,331.29","276.81M","0.39%"
"Mar 01, 2015","9,352.63","9,313.52","9,379.18","9,307.63","241.69M","0.42%"
"Feb 26, 2015","9,313.52","9,320.31","9,363.58","9,297.34","288.72M","-0.07%"
"Feb 25, 2015","9,320.31","9,294.12","9,327.56","9,255.45","284.60M","0.28%"
"Feb 24, 2015","9,294.12","9,234.32","9,307.44","9,207.25","253.08M","0.65%"
"Feb 23, 2015","9,234.32","9,301.30","9,321.95","9,217.17","395.58M","-0.72%"
"Feb 22, 2015","9,301.30","9,300.20","9,388.66","9,291.35","286.03M","0.01%"
"Feb 19, 2015","9,300.20","9,407.87","9,407.87","9,257.67","291.42M","-1.14%"
"Feb 18, 2015","9,407.87","9,442.45","9,488.76","9,362.73","262.02M","-0.37%"
"Feb 17, 2015","9,442.45","9,439.37","9,544.45","9,422.07","363.83M","0.03%"
"Feb 16, 2015","9,439.37","9,467.06","9,482.74","9,428.74","353.39M","-0.29%"
"Feb 15, 2015","9,467.06","9,257.49","9,472.36","9,257.49","417.21M","2.26%"
"Feb 12, 2015","9,257.49","9,133.70","9,264.44","9,123.00","326.74M","1.36%"
