"Date","Price","Open","High","Low","Vol.","Change %"
"May 20, 2013","4,410.29","4,441.39","4,448.98","4,405.63","-","-0.78%"
"May 17, 2013","4,445.09","4,455.86","4,459.99","4,437.81","-","-0.18%"
"May 16, 2013","4,453.03","4,444.19","4,472.75","4,435.00","-","0.39%"
"May 15, 2013","4,435.93","4,434.97","4,448.58","4,425.72","-","0.07%"
"May 14, 2013","4,433.00","4,463.32","4,463.32","4,415.29","-","-0.68%"
"May 13, 2013","4,463.22","4,538.84","4,538.84","4,453.99","-","-1.80%"
"May 10, 2013","4,545.04","4,577.94","4,583.84","4,536.41","-","-0.60%"
"May 09, 2013","4,572.44","4,609.83","4,609.83","4,571.22","-","-0.78%"
"May 08, 2013","4,608.37","4,645.99","4,648.00","4,605.73","-","-0.81%"
"May 07, 2013","4,645.99","4,680.86","4,691.36","4,643.93","-","-0.22%"
"May 06, 2013","4,656.36","4,646.09","4,656.36","4,619.53","-","0.32%"
"May 03, 2013","4,641.57","4,615.01","4,641.57","4,610.08","-","0.44%"
"May 02, 2013","4,621.42","4,618.33","4,637.82","4,615.31","-","-0.02%"
"Apr 30, 2013","4,622.26","4,581.61","4,622.26","4,581.61","-","0.93%"
"Apr 29, 2013","4,579.86","4,573.28","4,579.86","4,534.21","-","0.10%"
"Apr 26, 2013","4,575.17","4,566.20","4,575.17","4,548.73","-","0.34%"
"Apr 25, 2013","4,559.73","4,571.37","4,572.81","4,546.67","-","-0.24%"
"Apr 24, 2013","4,570.72","4,583.01","4,588.65","4,556.36","-","0.05%"
"Apr 23, 2013","4,568.39","4,557.81","4,568.39","4,533.74","-","0.32%"
"Apr 22, 2013","4,554.01","4,581.34","4,583.70","4,540.68","-","-0.66%"
"Apr 19, 2013","4,584.22","4,608.06","4,611.14","4,577.91","-","-0.37%"
"Apr 18, 2013","4,601.40","4,609.98","4,619.59","4,594.62","-","-0.24%"
"Apr 17, 2013","4,612.64","4,615.63","4,620.75","4,590.66","-","-0.03%"
"Apr 16, 2013","4,614.00","4,643.76","4,643.76","4,589.13","-","-0.83%"
"Apr 15, 2013","4,652.60","4,667.35","4,676.24","4,649.48","-","-0.28%"
"Apr 12, 2013","4,665.84","4,676.83","4,685.01","4,659.12","-","-0.25%"
"Apr 11, 2013","4,677.71","4,703.21","4,703.21","4,655.69","-","-0.59%"
"Apr 10, 2013","4,705.32","4,723.23","4,723.53","4,677.97","-","-0.43%"
"Apr 08, 2013","4,725.83","4,726.70","4,730.01","4,708.05","-","-0.07%"
"Apr 05, 2013","4,728.97","4,737.67","4,738.08","4,719.10","-","-0.14%"
"Apr 04, 2013","4,735.67","4,741.71","4,751.94","4,723.34","-","-0.08%"
"Apr 03, 2013","4,739.48","4,755.82","4,758.40","4,723.61","-","-0.28%"
"Apr 02, 2013","4,752.63","4,740.98","4,752.63","4,728.77","-","0.36%"
"Apr 01, 2013","4,735.78","4,725.87","4,743.70","4,723.02","-","0.21%"
"Mar 29, 2013","4,725.73","4,738.96","4,752.88","4,721.67","-","-0.39%"
"Mar 28, 2013","4,744.16","4,755.45","4,756.20","4,725.48","-","-0.29%"
